Pagetype,Assignee,ilanTarihi,kategori,marka,model,il,galeri_ID,ilanNo,photoCount,Fiyat,Detail_ContactNumberCount ,Detail_MessageContactStatus,Detail_850Status,Detail_PhoneContactStatus,Detail_Breadcrumb,Detail_CarSegment,ilan_no,ilan_tarihi,seri,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,cekis,arac_durumu,ort._yakit_tuketimi,yakit_deposu,boya-degisen,takasa_uygun,kimden,Etiket,motor_gucu_(kw),batarya_voltaji_(v),menzil,sarj_suresi,pil_kapasitesi_(kwh),plaka_uyrugu
Detail,8049516,20240225,Otomobil,Toyota,1.6 Vision,Giresun,8124615,24605508,13,1035000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Vision / ,C,24605508,25 Şubat 2024,Corolla,2020,40.000 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1598 cc,132 hp,Önden Çekiş,İkinci El,"5,5 lt",50 lt,Tamamı orjinal,,Sahibinden,,,,,,,
Detail,9353130,20240223,Otomobil,Toyota,1.6 GL,Kütahya,9427680,24059972,15,345000,1,0,0,1,Otomobil / Toyota / Corolla / 1.6 / GL / ,C,24059972,23 Şubat 2024,Corolla,1993,290.000 km,Otomatik,LPG & Benzin,Sedan,Gri (titanyum),1587 cc,95 hp,Önden Çekiş,İkinci El,,50 lt,Belirtilmemiş,,Sahibinden,,,,,,,
Detail,9296197,20240223,Otomobil,Toyota,1.6 Terra,Muğla,9370796,24593635,14,455000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Terra / ,C,24593635,23 Şubat 2024,Corolla,2006,145.000 km,Düz,LPG & Benzin,Station wagon,Gri (Gümüş),1598 cc,110 hp,Önden Çekiş,İkinci El,"6,7 lt",55 lt,"2 değişen, 7 boyalı",,Sahibinden,,,,,,,
Detail,7367783,20240223,Otomobil,Toyota,1.6 Sol,Ankara,7443323,18953066,8,498000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Sol / ,C,18953066,23 Şubat 2024,Corolla,2004,299.000 km,Düz,LPG & Benzin,Sedan,Mavi (metalik),1598 cc,110 hp,Önden Çekiş,İkinci El,"6,5 lt",55 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,İlk Sahibinden,,,,,,
Detail,9547568,20240224,Otomobil,Toyota,1.6 Terra,Manisa,9621917,24608364,12,470000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Terra / ,C,24608364,24 Şubat 2024,Corolla,2004,205.000 km,Düz,LPG & Benzin,Sedan,Mavi,1598 cc,110 hp,Önden Çekiş,İkinci El,"6,5 lt",55 lt,"1 değişen, 5 boyalı",Takasa Uygun Değil,Sahibinden,,,,,,,
Detail,9529374,20240223,Otomobil,Toyota,1.6 Vision,Antalya,9603745,24595536,14,970000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Vision / ,C,24595536,23 Şubat 2024,Corolla,2020,52.000 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1598 cc,132 hp,Önden Çekiş,İkinci El,"5,5 lt",50 lt,1 değişen,Takasa Uygun,Sahibinden,İlk Sahibinden,,,,,,
Detail,1526887,20240223,Otomobil,Toyota,1.6 XLi,Konya,2509578,24591703,14,360000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / XLi / ,C,24591703,23 Şubat 2024,Corolla,1998,296.000 km,Düz,LPG & Benzin,Sedan,Turkuaz,1587 cc,105 hp,Önden Çekiş,İkinci El,,50 lt,1 değişen,,Sahibinden,,,,,,,
Detail,2494,20240226,Otomobil,Toyota,1.6 GL,Konya,1925584,23940856,14,295000,3,1,0,1,Otomobil / Toyota / Corolla / 1.6 / GL / ,C,23940856,26 Şubat 2024,Corolla,1993,331.000 km,Düz,LPG & Benzin,Hatchback/5,Yeşil,1587 cc,105 hp,Önden Çekiş,İkinci El,,50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,,,,,,
Detail,3558391,20240223,Otomobil,Toyota,1.6 Vision,Ankara,3589858,24594275,0,1050000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / Vision / ,C,24594275,23 Şubat 2024,Corolla,2019,76.000 km,Yarı Otomatik,LPG & Benzin,Sedan,Beyaz,1598 cc,132 hp,Önden Çekiş,İkinci El,"5,5 lt",50 lt,Tamamı orjinal,,Sahibinden,,,,,,,
Detail,9308283,20240225,Otomobil,Toyota,1.6 XEi,Manisa,9382878,24610056,7,365000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / XEi / ,,24610056,25 Şubat 2024,Corolla,1997,225.000 km,Düz,LPG & Benzin,Sedan,Lacivert,,,,İkinci El,,,1 değişen,,Sahibinden,,,,,,,
Detail,9352238,20240223,Otomobil,Toyota,1.6 GLi,Adana,9426789,24057891,12,370000,1,1,0,1,Otomobil / Toyota / Corolla / 1.6 / GLi / ,C,24057891,23 Şubat 2024,Corolla,1998,340.000 km,Düz,LPG & Benzin,Sedan,Lacivert,1587 cc,105 hp,Önden Çekiş,,,50 lt,12 boyalı,Takasa Uygun,Sahibinden,,,,,,,
