Pagetype,Assignee,ilanTarihi,kategori,marka,model,il,galeri_ID,ilanNo,photoCount,Etiket,Fiyat,Detail_ContactNumberCount ,Detail_MessageContactStatus,Detail_850Status,Detail_PhoneContactStatus,Detail_Breadcrumb,Detail_CarSegment,ilan_no,ilan_tarihi,seri,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,cekis,arac_durumu,ort._yakit_tuketimi,yakit_deposu,boya-degisen,takasa_uygun,kimden
Detail,3431179,20240305,Otomobil,Toyota,1.4 D-4D Comfort,Yozgat,3462725,23428047,15,,550000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Comfort / ,C,23428047,05 Mart 2024,Corolla,2007,246.000 km,Yarı Otomatik,Dizel,Sedan,Füme,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,9 lt",55 lt,5 boyalı,Takasa Uygun Değil,Sahibinden
Detail,1346207,20240304,Otomobil,Toyota,1.4 D-4D Elegant,Düzce,1894336,24157999,13,,560000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Elegant / ,C,24157999,04 Mart 2024,Corolla,2011,317.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,8 lt",55 lt,Tamamı orjinal,Takasa Uygun,Sahibinden
Detail,7349199,20240303,Otomobil,Toyota,1.4 D-4D Advance,Kayseri,7424750,23851944,12,,760000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Advance / ,C,23851944,03 Mart 2024,Corolla,2014,125.000 km,Düz,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,1 lt",55 lt,Tamamı orjinal,,Sahibinden
Detail,6483176,20240306,Otomobil,Toyota,1.4 D-4D Elegant,Bursa,6559220,24690388,13,,610000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Elegant / ,C,24690388,06 Mart 2024,Corolla,2011,176.000 km,Düz,Dizel,Sedan,Gri,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,8 lt",55 lt,"1 değişen, 3 boyalı",,Sahibinden
Detail,9569715,20240304,Otomobil,Toyota,1.4 D-4D Elegant,Antalya,9644055,24671574,15,,725000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Elegant / ,C,24671574,04 Mart 2024,Corolla,2013,146.000 km,Düz,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,8 lt",55 lt,Belirtilmemiş,Takasa Uygun,Sahibinden
Detail,9527880,20240304,Otomobil,Toyota,1.4 D-4D Terra,Aydın,9602251,24674583,8,,475000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Terra / ,C,24674583,04 Mart 2024,Corolla,2006,237.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1364 cc,90 hp,Önden Çekiş,İkinci El,"4,8 lt",55 lt,Belirtilmemiş,,Sahibinden
Detail,2678282,20240305,Otomobil,Toyota,1.4 D-4D Touch,Samsun,1930477,24166921,8,,875000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Touch / ,C,24166921,05 Mart 2024,Corolla,2018,94.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,1 lt",55 lt,Belirtilmemiş,,Sahibinden
Detail,3900028,20240304,Otomobil,Toyota,1.4 D-4D Comfort Extra,Kocaeli,3931354,24673588,11,,710000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Comfort Extra / ,C,24673588,04 Mart 2024,Corolla,2012,160.000 km,Düz,Dizel,Sedan,Füme,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,7 lt",55 lt,Belirtilmemiş,Takasa Uygun,Sahibinden
Detail,9575685,20240306,Otomobil,Toyota,1.4 D-4D Class,İstanbul,9650015,24689224,15,,545000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Class / ,C,24689224,06 Mart 2024,Corolla,2010,242.000 km,Düz,Dizel,Sedan,Beyaz,1365 cc,90 hp,Önden Çekiş,İkinci El,"4,9 lt",55 lt,"1 değişen, 2 boyalı",,Sahibinden
Detail,9574213,20240305,Otomobil,Toyota,1.4 D-4D Terra,Kırıkkale,9648549,24684332,14,"İlk Sahibinden,Düşük Km",565000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Terra / ,C,24684332,05 Mart 2024,Corolla,2007,118.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1364 cc,90 hp,Önden Çekiş,İkinci El,"4,9 lt",55 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden
Detail,4579551,20240305,Otomobil,Toyota,1.4 D-4D Advance,İstanbul,4612311,24163713,15,,810000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Advance / ,C,24163713,05 Mart 2024,Corolla,2018,282.000 km,Düz,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,1 lt",55 lt,"1 değişen, 1 boyalı",,Sahibinden
Detail,9574468,20240305,Otomobil,Toyota,1.4 D-4D Elegant,İstanbul,9648804,24685343,15,,600000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Elegant / ,C,24685343,05 Mart 2024,Corolla,2009,192.000 km,Düz,Dizel,Sedan,Gri,1365 cc,90 hp,Önden Çekiş,İkinci El,"4,9 lt",55 lt,Belirtilmemiş,-,Sahibinden
Detail,111593,20240305,Otomobil,Toyota,1.4 D-4D Comfort,Mersin,1758719,24682266,8,,495000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Comfort / ,C,24682266,05 Mart 2024,Corolla,2008,295.500 km,Yarı Otomatik,Dizel,Sedan,Gri (Gümüş),1364 cc,90 hp,Önden Çekiş,İkinci El,"4,9 lt",55 lt,"2 değişen, 4 boyalı",,Sahibinden
Detail,7234776,20240304,Otomobil,Toyota,1.4 D-4D Touch,İstanbul,7310367,24674094,10,,785000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Touch / ,C,24674094,04 Mart 2024,Corolla,2017,173.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,1 lt",55 lt,"1 değişen, 1 boyalı",,Sahibinden
Detail,8443029,20240305,Otomobil,Toyota,1.4 D-4D Advance,Denizli,8517639,24102676,25,,757000,1,1,1,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Advance / ,C,24102676,05 Mart 2024,Corolla,2013,125.000 km,Düz,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,,"4,1 lt",55 lt,"2 değişen, 2 boyalı",Takasa Uygun,Galeriden
Detail,8851964,20240304,Otomobil,Toyota,1.4 D-4D Touch,İstanbul,8926580,24675391,12,,750000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Touch / ,C,24675391,04 Mart 2024,Corolla,2016,141.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,1 lt",55 lt,6 boyalı,,Sahibinden
Detail,9575503,20240305,Otomobil,Toyota,1.4 D-4D Premium,Muş,9649833,24688610,6,,760000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Premium / ,C,24688610,05 Mart 2024,Corolla,2014,158.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,1 lt",55 lt,Belirtilmemiş,-,Sahibinden
Detail,6085627,20240305,Otomobil,Toyota,1.4 D-4D Premium,Eskişehir,6161781,24681500,4,,840000,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Premium / ,C,24681500,05 Mart 2024,Corolla,2015,129.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1364 cc,90 hp,Önden Çekiş,İkinci El,"4,1 lt",55 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden
Detail,4262123,20240304,Otomobil,Toyota,1.4 D-4D Active,İstanbul,4293087,23645217,25,,644900,1,1,1,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Active / ,C,23645217,04 Mart 2024,Corolla,2013,210.000 km,Yarı Otomatik,Dizel,Sedan,Gri (Gümüş),1364 cc,90 hp,Önden Çekiş,İkinci El,"4,1 lt",55 lt,7 boyalı,Takasa Uygun Değil,Galeriden
Detail,62744,20240306,Otomobil,Toyota,1.4 D-4D Terra,İstanbul,2840488,24692429,11,,408750,1,1,0,1,Otomobil / Toyota / Corolla / 1.4 D-4D / Terra / ,C,24692429,06 Mart 2024,Corolla,2006,292.000 km,Yarı Otomatik,Dizel,Sedan,Gri (Gümüş),1364 cc,90 hp,Önden Çekiş,İkinci El,"4,9 lt",55 lt,1 değişen,,Sahibinden
